,Song,Artist,Billboard Peak,Track_URI,Explicit,Album Name,Release Date,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Key,Mode,Time Signature,Duration(ms)
104,What's Next,Drake,1,spotify:track:3mDFLytDotXo2p0rvfGbkA,False,Scary Hours 2,2021-03-05,70,0.0125,0.777,0.58,0.0,0.161,-6.928,0.0525,0.0636,129.918,C,Minor,4,02:58
105,Mienteme,TINI X Maria Becerra,106,spotify:track:0cOa970mzTWAxKtltpkpLc,False,Miénteme,2021-04-29,85,0.161,0.85,0.541,5.01e-06,0.286,-4.522,0.0674,0.916,92.003,D,Major,4,02:45
106,Ski,Young Thug & Gunna,23,spotify:track:1uZSBNUAVZm4maKgbZsmkk,True,"Ski (Originally Performed by Young Stoner Life, Young Thug and Gunna) [Karaoke]",2021-04-23,7,0.0341,0.798,0.443,0.77,0.0836,-14.353,0.0519,0.724,123.055,G♯/A♭,Minor,4,02:34
107,Bipolar,"MC Don Juan, MC Davi & MC Pedrinho",108,spotify:track:5a16tk3vGGt4s9L9TRKakm,True,A Gangsta’s Pain,2021-04-23,60,0.0941,0.698,0.478,0.0,0.162,-8.008,0.313,0.339,82.352,C,Minor,4,02:31
108,Ramen & OJ,Joyner Lucas & Lil Baby,104,spotify:track:7MPkZfOpcnDtRqA80Spszv,False,Ramen and OJ (Originally Performed by Joyner Lucas and Lil Baby) [Instrumental],2021-05-06,6,0.593,0.659,0.257,0.919,0.1,-17.516,0.0554,0.0769,107.068,C♯/D♭,Minor,3,03:39
109,Memories,Maroon 5,71,spotify:track:2b8fOow8UzyDFAE27YhOZM,False,Memories,2019-09-20,87,0.837,0.764,0.32,0.0,0.0822,-7.209,0.0546,0.575,91.019,N/A,Major,4,03:09
110,The Good Ones,Gabby Barrett,96,spotify:track:3hLuHKzG1cmlRpq53ZVWd8,False,Goldmine,2020-06-19,79,0.18,0.519,0.552,0.0,0.149,-5.023,0.0259,0.331,89.957,D,Major,4,03:35
111,Holy,Justin Bieber Featuring Chance The Rapper,3,spotify:track:5u1n1kITHCxxp8twBcZxWy,False,Holy,2020-09-18,84,0.196,0.673,0.704,0.0,0.0898,-8.056,0.36,0.372,86.919,F♯/G♭,Major,4,03:32
112,Bohemian Rhapsody,Queen,107,spotify:track:7tFiyTwD0nx5a1eklYtX2J,False,A Night At The Opera (Deluxe Remastered Version),1975-11-21,75,0.288,0.392,0.402,0.0,0.243,-9.961,0.0536,0.228,143.883,C,Minor,4,05:54
113,Therefore I Am,Billie Eilish,2,spotify:track:54bFM56PmE4YLRnqpW6Tha,False,Therefore I Am,2020-11-12,88,0.218,0.889,0.34,0.13,0.055,-7.773,0.0697,0.716,94.009,N/A,Minor,4,02:54
114,Cry Baby,Official HIGE DANdism,115,spotify:track:3IDF7N86lrcWaJEt9C1gbS,False,Cry Baby,2021-05-07,65,0.0116,0.318,0.902,0.0,0.393,-4.605,0.131,0.437,199.844,C♯/D♭,Major,4,04:00
115,My Ex's Best Friend,Machine Gun Kelly X blackbear,25,spotify:track:7kDUspsoYfLkWnZR7qwHZl,True,Tickets To My Downfall,2020-09-25,85,0.00473,0.731,0.675,0.0,0.141,-5.134,0.0434,0.298,124.939,F,Minor,4,02:19
116,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",17,spotify:track:1jaTQ3nqY3oAAYyCTbIvnM,True,Sweet Action,2020-03-13,81,0.017,0.923,0.604,0.0,0.272,-6.671,0.245,0.826,145.062,N/A,Minor,4,02:19
117,Time Today,Moneybagg Yo,70,spotify:track:0YrKSfpvflYnLSBd4Jtu6J,True,A Gangsta’s Pain,2021-04-23,77,0.0458,0.912,0.608,0.0,0.248,-7.686,0.397,0.327,136.994,C♯/D♭,Major,4,02:16
118,Baila Conmigo,Selena Gomez With Rauw Alejandro,22,spotify:track:079Ey5uxL04AKPQgVQwx5h,False,Revelación - EP,2021-03-12,89,0.0215,0.823,0.544,0.00315,0.0966,-7.132,0.0715,0.664,149.903,F,Major,4,03:06
119,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,70,spotify:track:2YpeDb67231RjR0MgVLzsG,False,7 EP,2019-06-21,82,0.0533,0.878,0.619,0.0,0.113,-5.56,0.102,0.639,136.041,F♯/G♭,Major,4,02:37
120,Closer,The Chainsmokers Featuring Halsey,100,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,False,Closer,2016-07-29,85,0.414,0.748,0.524,0.0,0.111,-5.599,0.0338,0.661,95.01,G♯/A♭,Major,4,04:04
121,Ride It.,Regard,86,spotify:track:2tnVG71enUj33Ic2nFN6kZ,False,Ride It,2019-07-26,86,0.177,0.88,0.751,6.43e-05,0.106,-4.258,0.0874,0.884,117.948,G,Minor,4,02:37
122,What You Need,Don Toliver,123,spotify:track:6LcX2hBbXaJcK4AuefE936,True,What You Need,2021-05-04,80,0.059,0.664,0.655,2.4e-05,0.17,-7.327,0.0461,0.13,129.987,B,Minor,4,03:37
123,Monster,YOASOBI,87,spotify:track:2UREu1Y8CO4jXkbvqAtP7g,False,Awake,2009-08-21,76,0.0431,0.64,0.957,0.0,0.0789,-2.336,0.0741,0.692,134.992,G♯/A♭,Major,4,02:58
124,Goosebumps,Travis Scott,102,spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,True,Goosebumps (Remix),2021-01-15,91,0.418,0.841,0.593,0.0,0.124,-7.846,0.0379,0.808,124.917,C♯/D♭,Major,4,02:42
125,Senorita,Shawn Mendes & Camila Cabello,67,spotify:track:7j51JJNPTPc9pLxcrgZdFR,False,Salsa y Tropical Hits,2019-11-15,10,0.429,0.683,0.973,1.82e-05,0.175,-2.752,0.032,0.82,94.983,C,Major,4,04:00
126,Girl Like Me,Black Eyed Peas X Shakira,39,spotify:track:1zLBsSVxETQOfINOLYvT5m,True,TRANSLATION,2020-11-02,86,0.0206,0.965,0.485,0.0237,0.0655,-8.784,0.191,0.312,124.025,D,Major,4,03:42
127,Rain On Me,Lady Gaga & Ariana Grande,22,spotify:track:3Wxl7YuE3NtVgwVC0QFnVK,False,Rain on Me (Instrumental Karaoke Version) Originally Performed by Lady Gaga & Ariana Grande,2020-05-26,12,0.00157,0.657,0.897,0.297,0.306,-7.104,0.0318,0.363,122.985,C♯/D♭,Minor,4,03:02
128,Reloj,Rauw Alejandro & Anuel AA,41,spotify:track:7r9ZhitdQBONTFOiJW5mr8,True,Reloj,2020-10-22,84,0.176,0.823,0.537,3.98e-06,0.123,-2.639,0.209,0.615,175.946,G♯/A♭,Major,4,03:51
129,Prisoner,Miley Cyrus Featuring Dua Lipa,12,spotify:track:5JqZ3oqF00jkT81foAFvqg,False,Prisoner (feat. Dua Lipa),2020-11-20,83,0.0103,0.781,0.67,0.0,0.0761,-3.912,0.0452,0.595,127.99,D♯/E♭,Minor,4,02:49
130,Say So,Doja Cat,50,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,True,Hot Pink,2019-11-07,84,0.256,0.787,0.673,3.57e-06,0.0904,-4.577,0.158,0.786,110.962,N/A,Minor,4,03:57
131,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,120,spotify:track:6habFhsOp2NvshLv26DqMb,False,VIDA,2019-02-01,79,0.198,0.655,0.797,0.0,0.067,-4.787,0.153,0.839,177.928,D,Major,4,03:49
132,Something Just Like This,The Chainsmokers & Coldplay,133,spotify:track:4PDGKd7D6IE2cfzoJX3eSs,False,Something Just Like This (Originally by The Chainsmokers and Coldplay) [Instrumental Version],2017-02-27,13,0.0279,0.526,0.421,0.962,0.114,-11.643,0.0251,0.402,104.017,N/A,Minor,4,04:03
133,Yellow,Coldplay,134,spotify:track:3AJwUDP919kvQ9QcozQPxg,False,Parachutes,2000-07-10,85,0.00239,0.429,0.661,0.000121,0.234,-7.227,0.0281,0.285,173.372,N/A,Major,4,04:26
134,Break My Heart,Dua Lipa,47,spotify:track:017PF4Q3l4DBUiWoXk4OWT,False,Future Nostalgia,2020-03-27,82,0.167,0.73,0.729,1.39e-06,0.349,-3.434,0.0883,0.467,113.013,E,Minor,4,03:41
135,All Of Me,John Legend,97,spotify:track:3U4isOIWM3VvDubwSI3y7a,False,Love In The Future (Expanded Edition),2013-08-30,86,0.922,0.422,0.264,0.0,0.132,-7.064,0.0322,0.331,119.93,G♯/A♭,Major,4,04:29
136,I Don't Care,Ed Sheeran & Justin Bieber,105,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,False,I Don't Care (with Justin Bieber),2019-05-10,82,0.0912,0.798,0.675,0.0,0.0894,-5.041,0.0442,0.842,101.956,F♯/G♭,Major,4,03:39
137,Breaking Me,Topic & A7S,21,spotify:track:3QQ7IfDIgLMEP0H0iFrAXG,False,Breaking Me (Original by Topic & A7S),2020-11-18,15,0.987,0.591,0.232,0.943,0.101,-17.573,0.0589,0.245,106.049,G♯/A♭,Minor,4,02:36
138,No Role Modelz,J. Cole,139,spotify:track:62vpWI1CHwFy7tMIcSStl8,True,2014 Forest Hills Drive,2014-12-09,85,0.301,0.692,0.521,0.0,0.0565,-8.465,0.33,0.463,100.45,B,Minor,4,04:52
139,Say You Won't Let Go,James Arthur,96,spotify:track:5uCax9HTNlzGybIStD3vDh,False,Back from the Edge,2016-10-28,85,0.695,0.358,0.557,0.0,0.0902,-7.398,0.059,0.494,85.043,B,Major,4,03:31
140,At My Worst,Pink Sweat$ Featuring Kehlani,78,spotify:track:0ri0Han4IRJhzvERHOZTMr,False,The Prelude,2020-07-17,83,0.777,0.813,0.415,0.0,0.131,-5.926,0.0349,0.667,91.921,C,Major,4,02:50
141,Adore You,Harry Styles,68,spotify:track:3jjujdWJ72nww5eGnfs2E7,False,Fine Line,2019-12-13,86,0.0237,0.676,0.771,7e-06,0.102,-3.675,0.0483,0.569,99.048,G♯/A♭,Major,4,03:27
142,Go Crazy,Chris Brown & Young Thug,26,spotify:track:1Jz1yhcPm1Yt6aoed3zact,True,"Go Crazy (Remix) (feat. Young Thug, Future, Lil Durk & Mulatto)",2021-02-19,72,0.248,0.721,0.565,0.0,0.284,-9.157,0.28,0.597,93.8,C,Minor,4,03:47
143,Lucid Dreams,Juice WRLD,103,spotify:track:285pBltuF7vW8TeWk8hdRR,True,Goodbye & Good Riddance,2018-12-10,86,0.349,0.511,0.566,0.0,0.34,-7.23,0.2,0.218,83.903,F♯/G♭,Minor,4,03:59
144,Intentions,Justin Bieber Featuring Quavo,65,spotify:track:364dI1bYnvamSnBJ8JcNzN,False,Intentions,2020-02-07,78,0.317,0.811,0.553,0.0,0.105,-6.644,0.0552,0.86,148.014,A,Major,4,03:32
145,Little Bit Of Love,Tom Grennan,146,spotify:track:2sX7lJXsOYGP1Us6CqM9t1,False,Little Bit of Love,2021-01-08,81,0.0833,0.689,0.706,0.0,0.105,-4.48,0.0312,0.623,106.52,C♯/D♭,Minor,4,03:46
146,Mou Sukoshi Dake,YOASOBI,147,spotify:track:50ZNDEdtxnCch0iIYywWq2,False,Covers Vol. 12,2014-12-05,26,0.081,0.336,0.901,0.0,0.267,-3.536,0.124,0.356,196.414,G,Major,4,01:31
147,Don't Stop Believin',Journey,148,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,False,Escape,1981,81,0.127,0.5,0.748,0.0,0.447,-9.072,0.0363,0.514,118.852,E,Major,4,04:10
148,Dior,Pop Smoke,61,spotify:track:79s5XnCN4TJKTVMSmOx8Ep,True,Meet The Woo,2019-07-26,84,0.212,0.548,0.805,0.000389,0.408,-5.732,0.351,0.648,142.094,G,Major,4,03:36
149,Take Me To Church,Hozier,129,spotify:track:1CS7Sd1u5tWkstBhpssyjP,False,Hozier (Expanded Edition),2014-09-19,76,0.634,0.566,0.664,0.0,0.116,-5.303,0.0464,0.437,128.945,E,Minor,4,04:01
150,Sicko Mode,Travis Scott,70,spotify:track:2xLMifQCjDGFmkHkpNLD9h,True,ASTROWORLD,2018-08-03,85,0.00513,0.834,0.73,0.0,0.124,-3.714,0.222,0.446,155.008,G♯/A♭,Major,4,05:12
151,Kings & Queens,Ava Max,31,spotify:track:7a53HqqArd4b9NF4XAmlbI,False,Heaven & Hell,2020-09-18,84,0.00786,0.637,0.69,0.0,0.124,-4.057,0.0405,0.457,129.857,C♯/D♭,Minor,4,02:42
152,Track Star,Mooski,107,spotify:track:5hChuUMe5iHfjkXgzj1D4b,True,Track Star,2021-02-09,81,0.381,0.641,0.598,0.0,0.0921,-5.7,0.324,0.285,131.459,G,Minor,5,03:19
153,Kirari,Fujii Kaze,154,spotify:track:46UOLl4VYcYwAqsbJlYog5,False,minuscule,2011-09-13,50,0.888,0.772,0.144,2.28e-05,0.108,-16.438,0.0517,0.468,103.869,F,Major,3,02:40
154,Hell Of A View,Eric Church,120,spotify:track:1kBx9VGumfuvlfqdlAGorE,False,Hell Of A View,2020-10-02,76,0.119,0.689,0.582,0.00464,0.101,-6.778,0.0236,0.883,99.021,F,Major,4,02:55
155,Hotel California,Eagles,149,spotify:track:40riOy7x9W7GXjyGp4pjAv,False,Hotel California (2013 Remaster),1976-12-08,83,0.00574,0.579,0.508,0.000494,0.0575,-9.484,0.027,0.609,147.125,D,Major,4,06:31
156,Dry Flower,Yuuri,48,spotify:track:1Dqo8RY50LMCvjjA3kOrNZ,False,I Know,2019-10-18,48,0.705,0.679,0.595,0.0,0.106,-4.374,0.03,0.438,120.09,C,Minor,4,03:03
157,Girls Like Us,Zoe Wees,124,spotify:track:5SFXOMJJ334Wn2PwBHeRZN,False,Girls Like Us,2021-01-12,84,0.288,0.444,0.648,0.0,0.059,-4.955,0.0476,0.171,125.706,C♯/D♭,Major,5,03:09
158,You,Regard x Troye Sivan x Tate McRae,113,spotify:track:5qNh5WtzMbfpSj2jLlBkoD,False,Your Power,2021-04-29,93,0.937,0.634,0.285,0.000359,0.232,-14.007,0.0807,0.203,129.65,A,Minor,4,04:05
159,Life Is Good,Future Featuring Drake,39,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,True,Life Is Good (feat. Drake),2020-01-10,83,0.0706,0.676,0.609,0.0,0.152,-5.831,0.481,0.508,142.037,D,Minor,4,03:57
160,Counting Stars,OneRepublic,143,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,False,Native,2014-01-01,75,0.0654,0.664,0.705,0.0,0.115,-4.972,0.0382,0.477,122.017,C♯/D♭,Minor,4,04:17
161,The Box,Roddy Ricch,66,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,True,Please Excuse Me For Being Antisocial,2019-12-06,86,0.104,0.896,0.586,0.0,0.79,-6.687,0.0559,0.642,116.971,B,Minor,4,03:16
162,Take On Me,a-ha,162,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,False,Hunting High and Low,1985-06-01,85,0.018,0.573,0.902,0.00125,0.0928,-7.638,0.054,0.876,84.412,F♯/G♭,Minor,4,03:45
163,Bichota,Karol G,7,spotify:track:7vrJn5hDSXRmdXoR30KgF1,True,BICHOTA,2020-10-23,86,0.212,0.863,0.666,0.000493,0.103,-4.158,0.152,0.838,163.908,C♯/D♭,Minor,4,02:58
164,Willow,Taylor Swift,2,spotify:track:0lx2cLdOt3piJbcaXIV74f,False,evermore,2020-12-11,81,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,0.529,81.112,G,Major,4,03:34
165,Shottas (Lala),Moneybagg Yo,54,spotify:track:2Ox2c1WEJDeQCHTXPE3YKM,True,A Gangsta’s Pain,2021-04-23,77,0.0681,0.925,0.463,0.0,0.101,-9.309,0.454,0.961,133.061,F♯/G♭,Minor,4,02:02
166,Death Bed,Powfu Featuring beabadoobee,43,spotify:track:7eJMfftS33KTjuF7lTsMCx,False,death bed (coffee for your head),2020-02-08,87,0.731,0.726,0.431,0.0,0.696,-8.765,0.135,0.348,144.026,G♯/A♭,Minor,4,02:53
167,Midnight Sky,Miley Cyrus,15,spotify:track:27ycaQnQAxaPiyeg3nr2aB,False,Midnight Sky,2020-08-14,79,0.00115,0.705,0.814,0.00312,0.203,-5.466,0.0346,0.259,110.0,E,Minor,4,03:43
168,Thinking Out Loud,Ed Sheeran,103,spotify:track:34gCuhDGsG4bRPIf9bb02f,False,x (Deluxe Edition),2014-06-21,83,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,0.591,78.998,D,Major,4,04:41
169,Thunderstruck,AC/DC,170,spotify:track:57bgtoPSgt236HzfBOd8kj,False,The Razors Edge,1990-09-24,83,0.000147,0.502,0.89,0.0117,0.217,-5.175,0.0364,0.259,133.52,E,Major,4,04:52
170,Run,OneRepublic,171,spotify:track:2UbVnbE5FH6008mAm6Mmgw,False,Run,2021-05-05,82,0.326,0.682,0.72,0.0,0.148,-8.173,0.0381,0.673,117.003,N/A,Minor,4,02:49
171,Highest In The Room,Travis Scott,83,spotify:track:3eekarcy7kvN4yt5ZFzltW,True,HIGHEST IN THE ROOM,2019-10-04,86,0.0546,0.598,0.427,5.83e-06,0.21,-8.764,0.0317,0.0605,76.469,G,Minor,4,02:55
172,Wasted Love,Ofenbach Featuring Lagique,173,spotify:track:2pPO9YecZimmuVQfIzfV6U,False,Wasted Love (feat. Lagique),2021-01-08,87,0.0821,0.734,0.855,4.73e-06,0.0901,-4.578,0.135,0.54,121.955,F♯/G♭,Minor,4,02:19
173,Popstar,DJ Khaled Featuring Drake,11,spotify:track:6EDO9iiTtwNv6waLwa1UUq,True,POPSTAR (feat. Drake),2020-07-17,84,0.057,0.8,0.56,0.0,0.134,-4.818,0.261,0.45,163.071,F,Minor,4,03:20
174,Sweet Child O' Mine,Guns N' Roses,167,spotify:track:7snQQk1zcKl8gZ92AnueZW,False,Appetite For Destruction,1987-07-21,74,0.0901,0.446,0.952,0.0857,0.112,-5.321,0.0523,0.624,125.303,F♯/G♭,Major,4,05:56
175,Headshot,"Lil Tjay, Polo G & Fivio Foreign",42,spotify:track:4eNOLmx8r2IJAVKvBBL1jv,True,Destined 2 Win,2021-04-02,85,0.0802,0.808,0.639,0.0,0.15,-7.266,0.279,0.395,118.0,C♯/D♭,Minor,4,02:24
176,Smells Like Teen Spirit,Nirvana,167,spotify:track:5ghIJDpPoe3CfHMGu71E6T,False,Nevermind (Remastered),1991-09-26,77,2.55e-05,0.502,0.912,0.000173,0.106,-4.556,0.0564,0.72,116.761,C♯/D♭,Major,4,05:01
177,Gangsta's Paradise,Coolio Featuring L.V.,178,spotify:track:6KQ8W7nFyG03TYoPoFsNmI,False,Greatest Hip Hop of the 90s: A Tribute,2011-12-09,4,0.351,0.429,0.376,0.0,0.129,-13.785,0.225,0.488,78.97,G♯/A♭,Major,4,04:01
178,Starboy,The Weeknd Featuring Daft Punk,52,spotify:track:7MXVkk9YMctZqd1Srtv4MB,True,Starboy,2016-11-25,84,0.141,0.679,0.587,6.35e-06,0.137,-7.015,0.276,0.486,186.003,G,Major,4,03:50
179,Ella No Es Tuya,Rochy Rd X Myke Towers X Nicki Nicole,39,spotify:track:5YYW3yRktprLRr47WK219Y,False,Ella No Es Tuya (Remix),2021-02-03,89,0.39,0.585,0.611,0.0,0.649,-4.132,0.288,0.962,97.041,F♯/G♭,Major,4,03:38
180,Kaikai Kitan,Eve,111,spotify:track:6y4GYuZszeXNOXuBFsJlos,False,Kaikai Kitan / Ao No Waltz,2020-12-23,80,0.0119,0.584,0.911,0.0,0.119,-3.515,0.09,0.606,92.502,F,Minor,4,03:41
181,Laugh Now Cry Later,Drake Featuring Lil Durk,5,spotify:track:2SAqBLGA283SUiwJ3xOUVI,True,Laugh Now Cry Later (feat. Lil Durk),2020-08-14,86,0.244,0.761,0.518,3.47e-05,0.107,-8.871,0.134,0.522,133.976,C,Major,4,04:21
182,Lil Bit,Nelly & Florida Georgia Line,183,spotify:track:5aTJlx7jyjZg0qJMiQOiUu,False,Hit Academy Vol 8,2020-10-29,17,0.373,0.778,0.354,0.000193,0.338,-17.148,0.0395,0.567,119.998,E,Minor,4,03:13
183,Wake Me Up!,Avicii,181,spotify:track:0nrRP2bk19rLc0orkWPQk2,False,True,2013-01-01,85,0.0038,0.532,0.783,0.0012,0.161,-5.697,0.0523,0.643,124.08,D,Major,4,04:07
184,Everything I Wanted,Billie Eilish,82,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,False,everything i wanted,2019-11-13,85,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,0.243,120.006,F♯/G♭,Minor,4,04:05
185,Another One Bites The Dust,Queen,159,spotify:track:57JVGBtBLCfHw2muk5416J,False,The Game (Deluxe Remastered Version),1980-06-27,75,0.112,0.933,0.528,0.329,0.163,-6.472,0.162,0.756,109.975,F,Minor,4,03:34
186,Riptide,Vance Joy,187,spotify:track:3JvrhDOgAt6p7K8mDyZwRd,False,Dream Your Life Away (Special Edition),2014-09-09,79,0.431,0.484,0.731,0.0,0.151,-6.694,0.0379,0.51,101.654,C♯/D♭,Major,4,03:24
187,Uptown Funk!,Mark Ronson Featuring Bruno Mars,188,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,False,Uptown Special,2015-01-12,83,0.00801,0.856,0.609,8.15e-05,0.0344,-7.223,0.0824,0.928,114.988,C,Major,4,04:29
188,Mr. Brightside,The Killers,178,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,False,Hot Fuss,2004-06-15,76,0.00101,0.356,0.924,0.0,0.0953,-3.74,0.0808,0.232,148.017,C♯/D♭,Major,4,03:42
189,Just The Way You Are,Bruno Mars,162,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,False,Doo-Wops & Hooligans,2010-10-05,82,0.0151,0.637,0.843,0.0,0.0876,-5.413,0.0432,0.434,109.012,F,Major,4,03:40
190,I'm Yours,Jason Mraz,173,spotify:track:1EzrEOXmMH3G43AXT1y7pA,False,We Sing. We Dance. We Steal Things.,2008-05-12,82,0.595,0.686,0.457,0.0,0.105,-8.322,0.0468,0.718,150.953,N/A,Major,4,04:02
191,Back In Black,AC/DC,191,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,False,Back In Black,1980-07-25,84,0.011,0.31,0.7,0.00965,0.0828,-5.678,0.047,0.763,188.386,A,Major,4,04:15
192,Odo,Ado,122,spotify:track:6huXEunO4jEFn9Q7WLoMZs,False,Back To Black (Deluxe Edition),2006,48,0.223,0.383,0.909,0.0,0.387,-1.412,0.111,0.721,146.169,B,Major,4,03:35
193,2/Catorce,Rauw Alejandro X Mr. Naisgai,194,spotify:track:71R8HJxQk5qMiRstrlXN9t,True,2/Catorce,2021-02-14,86,0.675,0.54,0.455,1.08e-05,0.12,-5.988,0.224,0.432,83.876,D♯/E♭,Major,4,03:32
194,Hecha Pa' Mi,Boza,43,spotify:track:3VvA1wSxukMLsvXoXtlwWx,False,Más Negro Que Rojo,2020-07-31,89,0.362,0.725,0.756,0.000685,0.103,-5.013,0.0572,0.828,100.07,E,Major,4,03:06
195,Somebody That I Used To Know,Gotye Featuring Kimbra,141,spotify:track:4wCmqSrbyCgxEXROQE6vtV,False,Making Mirrors,2011-01-01,77,0.591,0.864,0.495,0.000133,0.0992,-7.036,0.037,0.72,129.062,C,Major,4,04:04
196,Every Breath You Take,The Police,197,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,False,Synchronicity (Remastered 2003),1983-06-17,84,0.543,0.82,0.452,0.00294,0.0714,-9.796,0.0348,0.74,117.401,C♯/D♭,Major,4,04:13
197,Lonely,Justin Bieber & benny blanco,5,spotify:track:4fKiuIavbsoTRZ6R7xuAyT,True,Lonely (with benny blanco) [Main + Acoustic],2020-10-27,59,0.969,0.365,0.117,2.48e-06,0.684,-10.61,0.041,0.119,168.744,N/A,Minor,4,02:35
198,Tennessee Whiskey,Chris Stapleton,179,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,False,Traveller,2015-05-04,79,0.205,0.392,0.37,0.0096,0.0821,-10.888,0.0298,0.512,48.718,A,Major,4,04:53
199,You're Mines Still,Yung Bleu Featuring Drake,67,spotify:track:3wJ1OyP3Fugmi8t41e1zQ6,True,Love Scars: The 5 Stages Of Emotions (Deluxe),2020-10-16,65,0.308,0.613,0.615,0.0,0.107,-4.859,0.107,0.342,86.782,F,Minor,4,03:46
