,Song,Artist,Billboard Peak,Track_URI,Explicit,Album Name,Release Date,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Key,Mode,Time Signature,Duration(ms)
23,Higher Power,Coldplay,24,spotify:track:0939D7aT18uBDS2MTjWzct,False,Higher Power,2021-05-07,85,0.00711,0.507,0.828,2.44e-05,0.261,-6.023,0.0449,0.489,178.032,B,Major,4,03:31
24,Dakiti,Bad Bunny & Jhay Cortez,1,spotify:track:6rZk29Yz8ObEwtJOIaACt5,False,"By Request, Vol. 108",2020-11-25,8,0.00462,0.373,0.186,0.403,0.154,-6.421,0.0352,0.211,109.201,E,Minor,4,03:13
25,AM,Nio Garcia X Flow La Movie,24,spotify:track:2dNhNlpZAtV4lwAFW45LIv,True,AM,2021-01-28,93,0.399,0.83,0.517,8.95e-05,0.0916,-6.416,0.333,0.616,171.959,F♯/G♭,Minor,4,03:02
26,Goosebumps,Travis Scott & HVME,15,spotify:track:6gBFPUFcJLzWGx4lenP6h2,True,Birds In The Trap Sing McKnight,2016-09-16,87,0.0847,0.841,0.728,0.0,0.149,-3.37,0.0484,0.43,130.049,G,Major,4,04:03
27,Up,Cardi B,4,spotify:track:1XXimziG1uhM0eDNCZCrUl,True,Up,2021-02-05,90,0.0012,0.868,0.795,0.0193,0.0461,-6.044,0.269,0.819,166.0,N/A,Major,4,02:36
28,Mood,24kGoldn Featuring iann dior,2,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,True,El Dorado,2021-03-26,91,0.174,0.701,0.716,0.0,0.324,-3.671,0.0361,0.732,91.007,G,Minor,4,02:20
29,Runaway,AURORA,22,spotify:track:0TCmhnbMpw5zwPsTvlXTJi,False,All My Demons Greeting Me as a Friend (Deluxe),2014,84,0.634,0.521,0.277,7.07e-05,0.103,-10.34,0.0356,0.13,115.01,N/A,Major,4,04:08
30,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,26,spotify:track:6fRxMU4LWwyaSSowV441IU,False,Beautiful Mistakes (feat. Megan Thee Stallion),2021-03-03,91,0.0377,0.713,0.676,0.0,0.154,-5.483,0.027,0.721,99.048,B,Major,4,03:47
31,Telepatia,Kali Uchis,10,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,False,Sin Miedo (del Amor y Otros Demonios) ∞,2020-12-04,94,0.112,0.653,0.524,0.0,0.203,-9.016,0.0502,0.553,83.97,N/A,Minor,4,02:40
32,Wellerman,Nathan Evans,16,spotify:track:54OBgO0Xwu20Jak9TMXbR7,False,Wellerman (Sea Shanty),2021-01-21,83,0.614,0.675,0.359,0.0,0.137,-5.157,0.108,0.792,191.903,D♯/E♭,Major,4,02:35
